,enrollment_id,username,course_id,no_of_objects,bno_access,bno_pageclose,bno_problem,bno_video,bno_discussion,bno_navigate,bno_wiki,bno_total,bno_avg,no_of_active_days,time_consumption,browser_access,browser_pageclose,browser_problem,browser_video,server_access,server_discussion,server_problem,server_navigate,server_wiki,bno_browser,bno_server,label
12,134,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,29,23,11,24,8,0,14,0,80,11.428571428571429,4,0.0,9,11,24,8,14,0,0,14,0,52,28,1
13,141,CB4JYroUtmiKv572P6g4vrvJCi6Pzr9h,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,59,105,42,101,31,22,36,0,337,48.142857142857146,6,0.0,61,42,87,31,44,22,14,36,0,221,116,1
14,192,hCxbmPBmjgsEuMY36HnZH4x3BwWFnCUn,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,91,247,58,28,60,0,70,0,463,66.14285714285714,19,0.0,142,58,25,60,105,0,3,70,0,285,178,0
15,199,OEQBiRbbo3yEBzKSHcNX9ESBTSUy08ze,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,136,307,114,216,73,239,57,8,1014,144.85714285714286,10,0.0,168,114,178,73,139,239,38,57,8,533,481,0
16,200,tp9GLoYyljDV6mILQxrtrv1Iw4qcPl5Z,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,6,8,3,0,3,0,4,0,18,2.5714285714285716,2,0.0,3,3,0,3,5,0,0,4,0,9,9,1
17,219,088SASUPOVYUGhoEly8vlrkGvRBJoNwp,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,101,834,231,249,26,472,135,14,1961,280.14285714285717,18,0.0,428,231,203,26,406,472,46,135,14,888,1073,0
18,248,BTWrAWjg41jpM1wlPsS1mmQbZAFIvx2o,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2,0,0,0,0,0,4,0,4,0.5714285714285714,1,0.0,0,0,0,0,0,0,0,4,0,0,4,1
19,255,O6WL6sxvoPCZnvTLyTPxdXbnpOz3wcJ4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,78,181,51,120,32,6,24,0,414,59.142857142857146,10,0.0,55,51,96,32,126,6,24,24,0,234,180,0
20,272,BttUqG7aP3DWaBbIZQal1szLYpZUGYxR,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,9,25,9,0,0,111,19,0,164,23.428571428571427,12,0.0,10,9,0,0,15,111,0,19,0,19,145,0
21,284,L9qMLlGWAeAI6zWAZIyJtn0wISNa3dxg,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,99,118,37,6,55,326,78,0,620,88.57142857142857,24,0.0,45,37,5,55,73,326,1,78,0,142,478,0
22,320,2zijdtZPcsrYvyvmgApN5PnCXULBsIBX,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
23,373,XUkSDdNHWcdano4aRGWpLSTI2IF8D1IH,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,71,210,75,134,3,56,49,3,530,75.71428571428571,11,0.0,67,75,114,3,143,56,20,49,3,259,271,0
24,433,PEDnL2c66c2DN92O9BTVM9D6p19gGbT6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,61,134,61,57,43,62,37,1,395,56.42857142857143,19,0.0,68,61,50,43,66,62,7,37,1,222,173,0
25,447,a2mtYqbDDrFbFqfnqiJDA0edBTN433cW,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,2,0,0,0,0,0,2,0,2,0.2857142857142857,1,0.0,0,0,0,0,0,0,0,2,0,0,2,1
26,493,xNkIHhqS8GZXIqyoWwwS3ZeYfSmUsNJo,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,98,257,62,131,61,0,10,0,521,74.42857142857143,12,0.0,64,62,107,61,193,0,24,10,0,294,227,0
27,555,tiLrccMjeOBHHBLooSoPfc0IKYtAsyXK,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2,0,0,0,0,0,3,0,3,0.42857142857142855,2,0.0,0,0,0,0,0,0,0,3,0,0,3,1
28,561,7LdIrvw2mKsGn0uQY4FG8nOBRXaRc1Ll,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,37,95,24,46,22,4,15,0,206,29.428571428571427,3,0.0,57,24,35,22,38,4,11,15,0,138,68,0
29,630,BbZEGv8zMCuD8c0LXrenf9W1lGSlVd04,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,10,49,6,0,0,1,10,0,66,9.428571428571429,2,0.0,0,6,0,0,49,1,0,10,0,6,60,1
30,721,8C8UfNr6FiHHVx6gYUCnrrjltp4r2EEf,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
31,744,4EmbBZZKe7031MRObaECOYTAuU5wz706,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,8,9,4,0,4,0,2,0,19,2.7142857142857144,1,0.0,3,4,0,4,6,0,0,2,0,11,8,1
32,777,bLIF0ETNcg7fjkutu8YBWJptM3zxtu2Z,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,103,345,156,135,142,77,99,1,955,136.42857142857142,16,0.0,158,156,120,142,187,77,15,99,1,576,379,0
33,780,anqtRE1JbVfWjk9aVYgpNXBcTCoFe9WO,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,100,206,81,82,62,18,44,4,497,71.0,13,0.0,84,81,71,62,122,18,11,44,4,298,199,1
34,796,6gLqDWyaI2NtlxSWPzL6286Swi1mEUeL,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2,0,0,0,0,0,2,0,2,0.2857142857142857,1,0.0,0,0,0,0,0,0,0,2,0,0,2,1
35,833,TOPojNiMH24da1PoGtHTHtr3v40hc02S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,10,7,0,19,0,0,6,0,32,4.571428571428571,1,0.0,3,0,16,0,4,0,3,6,0,19,13,1
36,845,bY5BU72AucM53Ivc1aSf6rn9i7DKfcQZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
37,884,c3CVim2QZeSVk1wACFUHDmf9ZjEIwtuP,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,90,180,59,212,48,0,26,0,525,75.0,7,0.0,113,59,171,48,67,0,41,26,0,391,134,0
38,936,Z4uUjFPFbGNbmcg4E2opeBQCoO0nQyZe,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,58,352,100,95,46,18,39,0,650,92.85714285714286,12,0.0,140,100,74,46,212,18,21,39,0,360,290,1
39,937,uQjl8NGtIQkRfoe9edBiMgtYYmdkzVXR,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,79,266,79,160,32,29,25,0,591,84.42857142857143,16,0.0,110,79,134,32,156,29,26,25,0,355,236,0
40,956,SIuVkNKTY2J1cPfs6wUSNXAjh8XyxgwI,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
41,966,uVv1ioGVvP0A5CGQgSQhVTbH75lJRG4O,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,8,11,1,0,2,2,8,1,25,3.5714285714285716,4,0.0,2,1,0,2,9,2,0,8,1,5,20,1
42,980,xMPFWnundpXFSWVcNEdsnGtZrrNJ2nna,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,31,50,17,42,15,0,7,0,131,18.714285714285715,5,0.0,26,17,34,15,24,0,8,7,0,92,39,0
43,991,HvUs11HJgqndKBOynrg9yliToxZs6PoS,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,20,26,12,0,10,0,3,0,51,7.285714285714286,1,0.0,6,12,0,10,20,0,0,3,0,28,23,0
44,999,sGrMSEzmd0nQ8tazrPYbRhLOuMlMN34w,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5,4,2,0,0,0,5,0,11,1.5714285714285714,1,0.0,1,2,0,0,3,0,0,5,0,3,8,1
45,1030,uDdfaOyae5qLVYC8BQlj5xLhiV3is9wS,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,73,272,135,7,76,292,46,1,829,118.42857142857143,15,0.0,109,135,5,76,163,292,2,46,1,325,504,0
46,1052,db3m19q36pgCYtTdKoL3kV4Ubidysmpw,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
47,1072,9XUvtVr9N38jFL9d3KSBLe5NN0NI5Xv8,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,1,0,0,0,0,0,2,0,2,0.2857142857142857,2,0.0,0,0,0,0,0,0,0,2,0,0,2,1
48,1090,9ct6Fth9rRpjZJrFIHs9xOnW9W5hBHw6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,54,120,40,141,22,4,14,0,341,48.714285714285715,6,0.0,69,40,123,22,51,4,18,14,0,254,87,1
49,1134,Q3zkClKdiEJIkoKspwBuSNOwYXuxalAX,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,53,81,29,26,23,6,24,0,189,27.0,9,0.0,34,29,26,23,47,6,0,24,0,112,77,1
50,1147,gCxbOVEJ7FeSqOiwKbB6HzPEL3I9x6ca,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,135,224,86,208,54,97,34,1,704,100.57142857142857,9,0.0,117,86,168,54,107,97,40,34,1,425,279,0
51,1153,y4C09JELGArMkj7EYnAM5VIhmCekYYoO,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,4,4,1,0,0,0,2,0,7,1.0,1,0.0,0,1,0,0,4,0,0,2,0,1,6,1
52,1158,sO2CX3PTeWKMUH1S4FDuW0NDXEv7jZi0,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,2,0,0,0,0,0,5,0,5,0.7142857142857143,3,0.0,0,0,0,0,0,0,0,5,0,0,5,0
53,1168,k27vxLq1BTsJ0FUzoqJDoc4NU2cleRtl,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,15,21,14,1,8,3,6,0,53,7.571428571428571,3,0.0,2,14,1,8,19,3,0,6,0,25,28,1
54,1206,ymJGsoe3Y9XwSfD9UhxMG8gRl87RdPUe,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,41,97,45,44,21,2,12,0,221,31.571428571428573,8,0.0,31,45,38,21,66,2,6,12,0,135,86,1
55,1223,o7MfiO1X5Ui1AYG08PXFhTcXSShcuNhK,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,89,151,71,195,43,17,33,3,513,73.28571428571429,13,0.0,61,71,172,43,90,17,23,33,3,347,166,0
56,1227,RuOAeaUVW53IP9AqfP0jxaXbNkmd7lKN,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,59,73,5,58,21,0,32,0,189,27.0,8,0.0,40,5,47,21,33,0,11,32,0,113,76,0
57,1252,mZIaM3Lmux7GERtSm258BKPOSUYFlwyy,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,113,376,93,179,60,98,47,0,853,121.85714285714286,21,0.0,124,93,149,60,252,98,30,47,0,426,427,0
58,1255,jB9rh6QoUWlta1KDWb4mdWzYIut8deHu,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,6,3,1,0,1,0,2,0,7,1.0,1,0.0,0,1,0,1,3,0,0,2,0,2,5,1
59,1260,beV03mdN2n7VoZwDqBMCKGETqOChXWUx,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,108,467,138,146,78,89,51,7,976,139.42857142857142,10,0.0,160,138,134,78,307,89,12,51,7,510,466,0
60,1269,RSJQ68OFisJaYDiRNDqeLSdLFyonAIP1,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,4,3,1,0,0,0,2,0,6,0.8571428571428571,1,0.0,0,1,0,0,3,0,0,2,0,1,5,1
61,1289,zlsPhArkUaQ0CCdgZTO1797WJjiciHBk,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,141,331,120,234,108,115,43,1,952,136.0,12,0.0,120,120,195,108,211,115,39,43,1,543,409,0
62,1315,kNG9cn23NW62SZcqQSqyW9wMtO0GajdN,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,70,144,38,191,44,9,14,1,441,63.0,7,0.0,93,38,162,44,51,9,29,14,1,337,104,0
63,1328,wNK7ZCxNrr5YNZ14b6FlyAI0tpnOxaZ1,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,20,21,2,8,11,0,3,0,45,6.428571428571429,2,0.0,12,2,7,11,9,0,1,3,0,32,13,1
64,1345,eyksoE4AUoKYBpwx782vtNzuK4dwKRY9,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,10,15,4,0,2,1,6,1,29,4.142857142857143,1,0.0,9,4,0,2,6,1,0,6,1,15,14,1
65,1381,8W0dKFntzVy5gs8nAvO6lyUGOY4SLHwO,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,6,6,0,0,0,0,4,0,10,1.4285714285714286,2,0.0,0,0,0,0,6,0,0,4,0,0,10,1
66,1406,4zpruwryS301BhCHcVmaMPfD3MqLCk4h,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,155,473,19,420,74,363,43,1,1393,199.0,16,0.0,224,19,324,74,249,363,96,43,1,641,752,0
67,1429,YbP52dGau1RB8H6599HdGbUKOVHWxxw1,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,113,394,148,232,78,17,18,0,887,126.71428571428571,9,0.0,201,148,166,78,193,17,66,18,0,593,294,0
68,1450,q88579uTDrz7tsNTbZoL3mbWXAP4ClqK,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,75,191,72,50,47,35,53,13,461,65.85714285714286,10,0.0,98,72,44,47,93,35,6,53,13,261,200,0
69,1472,Qc7qhDYnMQ0se5itn8lyxOFjZ1zzyfhE,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,89,224,51,258,47,53,53,3,689,98.42857142857143,10,0.0,91,51,228,47,133,53,30,53,3,417,272,0
70,1491,lCyf3TRKW0i3K1mBgKz23OONMdCWqNsI,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,86,436,19,233,72,110,104,11,985,140.71428571428572,15,0.0,249,19,200,72,187,110,33,104,11,540,445,0
71,1502,1rAHmNrxrqnzHEQFMlydmQ968LsZW0oG,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,53,107,42,47,21,9,7,0,233,33.285714285714285,5,0.0,58,42,44,21,49,9,3,7,0,165,68,0
72,1521,IweRnM2AMTe7iVCwVnhk6LnMzajZZKLL,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,102,251,16,225,75,0,1,0,568,81.14285714285714,18,0.0,173,16,170,75,78,0,55,1,0,434,134,0
73,1529,DT600yQDJaU6nnkoEQdVx5gZnWz5FfNY,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,56,238,9,196,14,18,35,1,511,73.0,5,0.0,92,9,171,14,146,18,25,35,1,286,225,0
74,1541,Ydg0lHV8igjCQUoXTu9LI2axWzXgXWvH,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5,2,1,0,0,0,3,0,6,0.8571428571428571,1,0.0,0,1,0,0,2,0,0,3,0,1,5,1
75,1576,d9rEzZ3v1PmiMyudpVDJ4ystf1RU9dCH,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,18,33,8,8,3,1,22,2,77,11.0,6,0.0,8,8,7,3,25,1,1,22,2,26,51,1
76,1587,KKySZH8Vhrdd4z2bRf8FAPkHeGpE3JpX,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,11,22,6,0,0,0,14,0,42,6.0,8,0.0,0,6,0,0,22,0,0,14,0,6,36,1
77,1593,rLQXRKLwDTvBugA3fH8VUxASy31pAAsE,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,77,283,94,164,42,93,21,5,702,100.28571428571429,13,0.0,160,94,136,42,123,93,28,21,5,432,270,1
78,1594,argwyep7vMTLtgODtMQ0gxLXJNoq9csR,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,47,135,27,69,18,0,19,0,268,38.285714285714285,11,0.0,52,27,58,18,83,0,11,19,0,155,113,1
79,1616,Bi4hHmeTLwTbUCScu9tC6ZZN7frLUhVP,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,60,136,45,84,26,0,13,0,304,43.42857142857143,4,0.0,68,45,82,26,68,0,2,13,0,221,83,0
80,1617,Qq1YK4GwOtJbMK0bS6Tl6T4YUK2Aco59,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,7,5,1,0,2,2,7,0,17,2.4285714285714284,2,0.0,2,1,0,2,3,2,0,7,0,5,12,1
81,1621,hM78zuTWvc2c2WdiFwwJZnLKCiMEzZwE,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,98,101,29,122,25,11,13,0,301,43.0,2,0.0,66,29,116,25,35,11,6,13,0,236,65,1
82,1630,BN8wlDCfm46NLUt2P4jjdpJvase6IJc9,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,46,150,42,56,18,20,22,0,308,44.0,9,0.0,70,42,53,18,80,20,3,22,0,183,125,1
83,1637,kgAOuue8T6gEPrjctmtIdYSqA3HuAr1W,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,111,194,49,166,43,5,24,2,483,69.0,7,0.0,76,49,142,43,118,5,24,24,2,310,173,0
84,1651,iR2FNNwwVPECfrAWwxLxHcw8art5BqJj,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,55,175,58,93,62,9,13,0,410,58.57142857142857,5,0.0,82,58,72,62,93,9,21,13,0,274,136,0
85,1685,rAPaguNT0tnoFK76JileqLEbVcmAD9at,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
86,1687,oYErMzphr0xt2i2tKTG42QELMDaumLkL,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,16,70,18,8,8,41,8,0,153,21.857142857142858,6,0.0,29,18,4,8,41,41,4,8,0,59,94,1
87,1688,Aw7PeIkLW9CDHbPpPSjrFUdtBaUuHUXm,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,104,186,49,181,64,25,81,3,589,84.14285714285714,14,0.0,130,49,157,64,56,25,24,81,3,400,189,0
88,1697,LdIFMEp4Gma3xMuOQ2mpp1BJ3jFvB9c2,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,92,193,61,156,49,3,12,0,474,67.71428571428571,13,0.0,70,61,127,49,123,3,29,12,0,307,167,0
89,1708,PVIjAE0m0OeJAYOHc5gIjzktRijtXdS4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,52,109,38,91,28,4,13,1,284,40.57142857142857,5,0.0,56,38,77,28,53,4,14,13,1,199,85,1
90,1724,yXGb0Kuxvr3gyMDMjDKW3Llv1qZCYjSd,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
91,1728,B6EpScn9lSCPa3RR6ElGV7QvO5jse6Q3,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
92,1749,AeXY5V6bNirN94d0GfQQQX1fFim1uqSr,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,8,22,4,0,0,0,28,0,54,7.714285714285714,14,0.0,0,4,0,0,22,0,0,28,0,4,50,0
93,1755,qLrXKwo0jPQz47eKqKRnMiywjqEMxYd1,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,117,236,71,189,60,25,28,0,609,87.0,11,0.0,89,71,163,60,147,25,26,28,0,383,226,0
94,1756,wc32nzp9MMjroUa1gifXyCPIfYwLXy9J,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,36,61,27,39,20,10,28,2,187,26.714285714285715,10,0.0,22,27,34,20,39,10,5,28,2,103,84,1
95,1788,ZsmdkNcVTPviDi6RDTzc0nnIspFki9Ld,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,45,82,38,40,15,6,12,0,193,27.571428571428573,6,0.0,36,38,34,15,46,6,6,12,0,123,70,0
96,1801,wy2vY5aiYwg0C5zglGAXrG2vaWLSbGC9,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,14,19,4,0,2,19,10,2,56,8.0,3,0.0,1,4,0,2,18,19,0,10,2,7,49,1
97,1803,MlHPKmdi90dDdvX24jYoFlYEp8xS4RGn,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,9,3,1,0,2,0,8,0,14,2.0,3,0.0,0,1,0,2,3,0,0,8,0,3,11,1
98,1804,qRMvc4T53dkwmyfrgm76E5HygPUZo2vr,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,77,229,103,47,44,177,72,5,677,96.71428571428571,24,0.0,61,103,41,44,168,177,6,72,5,249,428,0
99,1805,bPy7U6tSxZ9PLPL59Ctwyzm55OFpghJ1,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,17,23,12,8,7,0,4,0,54,7.714285714285714,2,0.0,8,12,6,7,15,0,2,4,0,33,21,1
100,1806,NizqQaGjtKbKSjIbDqiqnHJildCbDYqn,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,5,2,1,0,1,0,2,0,6,0.8571428571428571,1,0.0,0,1,0,1,2,0,0,2,0,2,4,1
101,1807,tvXgoUvFgvHT9SyDah6Ue0bK2mvIbZdy,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,63,220,137,68,50,122,43,0,640,91.42857142857143,13,0.0,51,137,53,50,169,122,15,43,0,291,349,0
102,1811,466PN9Ek5iJamUCk5pZUwazAoeVcTj9e,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,7,15,8,0,5,0,5,0,33,4.714285714285714,3,0.0,3,8,0,5,12,0,0,5,0,16,17,1
103,1812,RAptfYJD6Shz4mBcU5ZDsgyIhOYMP4Cp,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,12,18,7,4,8,0,16,1,54,7.714285714285714,3,0.0,6,7,3,8,12,0,1,16,1,24,30,1
104,1813,y28h4Mo8cYpNiUreeF5KoyNN24Uz0qpM,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,5,7,3,0,3,0,2,0,15,2.142857142857143,1,0.0,3,3,0,3,4,0,0,2,0,9,6,1
105,1815,EZXku3HiM8iDGMBMsO2RMLHj3AEpHhBq,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,27,76,3,11,15,31,13,2,151,21.571428571428573,6,0.0,30,3,10,15,46,31,1,13,2,58,93,0
106,1816,uA8rfZuH0eMveW06zMXRELfenuAEs8xA,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
107,1817,bXMaalfz1ZqHKnJWw6VXCAoemSeuw45Q,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,2,0,0,0,0,0,4,0,4,0.5714285714285714,2,0.0,0,0,0,0,0,0,0,4,0,0,4,0
108,1818,pIBqJuNsqTHvkyItKwWF6wLVRjCC6EZu,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,14,58,23,6,17,5,24,0,133,19.0,4,0.0,21,23,6,17,37,5,0,24,0,67,66,1
109,1819,dg1Id0ZrueajjkgW22Z2GRzCY20snksW,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,17,40,2,6,6,0,19,1,74,10.571428571428571,5,0.0,10,2,5,6,30,0,1,19,1,23,51,1
110,1821,dovSPYooNHmzLLH97Ddy4FG7Uxhw5XJl,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,6,7,4,0,1,0,2,0,14,2.0,2,0.0,0,4,0,1,7,0,0,2,0,5,9,1
