,enrollment_id,username,course_id,no_of_objects1,bno_access1,bno_pageclose1,bno_problem1,bno_video1,bno_discussion1,bno_navigate1,bno_wiki1,bno_total1,bno_avg1,no_of_active_days1,time_consumption1,browser_access1,browser_pageclose1,browser_problem1,browser_video1,server_access1,server_discussion1,server_problem1,server_navigate1,server_wiki1,bno_browser1,bno_server1,label,no_of_objects2,bno_access2,bno_pageclose2,bno_problem2,bno_video2,bno_discussion2,bno_navigate2,bno_wiki2,bno_total2,bno_avg2,no_of_active_days2,time_consumption2,browser_access2,browser_pageclose2,browser_problem2,browser_video2,server_access2,server_discussion2,server_problem2,server_navigate2,server_wiki2,bno_browser2,bno_server2
10,199,OEQBiRbbo3yEBzKSHcNX9ESBTSUy08ze,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34.0,56.0,15.0,54.0,10.0,21.0,21.0,4.0,181.0,25.857142857142858,2.0,0.0,40.0,15.0,46.0,10.0,16.0,21.0,8.0,21.0,4.0,111.0,70.0,0,38.0,81.0,27.0,67.0,18.0,108.0,8.0,0.0,309.0,44.142857142857146,1.0,0.0,50.0,27.0,56.0,18.0,31.0,108.0,11.0,8.0,0.0,151.0,158.0
11,219,088SASUPOVYUGhoEly8vlrkGvRBJoNwp,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,35.0,253.0,75.0,54.0,15.0,167.0,60.0,9.0,633.0,90.42857142857144,5.0,0.0,128.0,75.0,50.0,15.0,125.0,167.0,4.0,60.0,9.0,268.0,365.0,0,34.0,260.0,92.0,105.0,2.0,83.0,43.0,4.0,589.0,84.14285714285714,6.0,0.0,124.0,92.0,88.0,2.0,136.0,83.0,17.0,43.0,4.0,306.0,283.0
12,284,L9qMLlGWAeAI6zWAZIyJtn0wISNa3dxg,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,9.0,17.0,3.0,6.0,1.0,165.0,31.0,0.0,223.0,31.857142857142858,7.0,0.0,1.0,3.0,5.0,1.0,16.0,165.0,1.0,31.0,0.0,10.0,213.0,0,91.0,99.0,34.0,0.0,54.0,75.0,22.0,0.0,284.0,40.57142857142857,6.0,0.0,44.0,34.0,0.0,54.0,55.0,75.0,0.0,22.0,0.0,132.0,152.0
13,433,PEDnL2c66c2DN92O9BTVM9D6p19gGbT6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,14.0,12.0,6.0,8.0,5.0,1.0,5.0,1.0,38.0,5.428571428571429,2.0,0.0,4.0,6.0,7.0,5.0,8.0,1.0,1.0,5.0,1.0,22.0,16.0,0,26.0,52.0,21.0,22.0,10.0,4.0,9.0,0.0,118.0,16.857142857142858,6.0,0.0,29.0,21.0,20.0,10.0,23.0,4.0,2.0,9.0,0.0,80.0,38.0
14,493,xNkIHhqS8GZXIqyoWwwS3ZeYfSmUsNJo,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,31.0,59.0,16.0,54.0,18.0,0.0,2.0,0.0,149.0,21.285714285714285,3.0,0.0,26.0,16.0,44.0,18.0,33.0,0.0,10.0,2.0,0.0,104.0,45.0,0,7.0,11.0,3.0,0.0,1.0,0.0,1.0,0.0,16.0,2.2857142857142856,1.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,4.0,12.0
15,777,bLIF0ETNcg7fjkutu8YBWJptM3zxtu2Z,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,7.0,8.0,3.0,2.0,3.0,6.0,7.0,0.0,29.0,4.142857142857143,4.0,0.0,3.0,3.0,2.0,3.0,5.0,6.0,0.0,7.0,0.0,11.0,18.0,0,36.0,60.0,30.0,47.0,27.0,1.0,19.0,0.0,184.0,26.285714285714285,3.0,0.0,28.0,30.0,42.0,27.0,32.0,1.0,5.0,19.0,0.0,127.0,57.0
16,780,anqtRE1JbVfWjk9aVYgpNXBcTCoFe9WO,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34.0,74.0,26.0,74.0,15.0,5.0,17.0,1.0,212.0,30.285714285714285,3.0,0.0,29.0,26.0,64.0,15.0,45.0,5.0,10.0,17.0,1.0,134.0,78.0,1,12.0,23.0,13.0,8.0,5.0,0.0,6.0,0.0,55.0,7.857142857142857,4.0,0.0,2.0,13.0,7.0,5.0,21.0,0.0,1.0,6.0,0.0,27.0,28.0
17,936,Z4uUjFPFbGNbmcg4E2opeBQCoO0nQyZe,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,17.0,41.0,19.0,0.0,6.0,4.0,9.0,0.0,79.0,11.285714285714286,3.0,0.0,16.0,19.0,0.0,6.0,25.0,4.0,0.0,9.0,0.0,41.0,38.0,1,6.0,27.0,12.0,0.0,0.0,1.0,8.0,0.0,48.0,6.857142857142857,4.0,0.0,5.0,12.0,0.0,0.0,22.0,1.0,0.0,8.0,0.0,17.0,31.0
18,937,uQjl8NGtIQkRfoe9edBiMgtYYmdkzVXR,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.8571428571428571,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,5.0,0,34.0,78.0,25.0,62.0,11.0,6.0,7.0,0.0,189.0,27.0,5.0,0.0,32.0,25.0,53.0,11.0,46.0,6.0,9.0,7.0,0.0,121.0,68.0
19,966,uVv1ioGVvP0A5CGQgSQhVTbH75lJRG4O,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,6.0,8.0,0.0,0.0,1.0,1.0,4.0,0.0,14.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,4.0,0.0,3.0,11.0,1,6.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,11.0,1.5714285714285714,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,2.0,9.0
20,1030,uDdfaOyae5qLVYC8BQlj5xLhiV3is9wS,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,30.0,108.0,47.0,7.0,10.0,180.0,21.0,1.0,374.0,53.42857142857143,5.0,0.0,51.0,47.0,5.0,10.0,57.0,180.0,2.0,21.0,1.0,113.0,261.0,0,41.0,107.0,62.0,0.0,64.0,71.0,13.0,0.0,317.0,45.285714285714285,5.0,0.0,38.0,62.0,0.0,64.0,69.0,71.0,0.0,13.0,0.0,164.0,153.0
21,1090,9ct6Fth9rRpjZJrFIHs9xOnW9W5hBHw6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,1,27.0,51.0,19.0,75.0,3.0,3.0,5.0,0.0,156.0,22.285714285714285,1.0,0.0,27.0,19.0,66.0,3.0,24.0,3.0,9.0,5.0,0.0,115.0,41.0
22,1134,Q3zkClKdiEJIkoKspwBuSNOwYXuxalAX,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,1,32.0,46.0,15.0,16.0,10.0,6.0,14.0,0.0,107.0,15.285714285714286,3.0,0.0,22.0,15.0,16.0,10.0,24.0,6.0,0.0,14.0,0.0,63.0,44.0
23,1206,ymJGsoe3Y9XwSfD9UhxMG8gRl87RdPUe,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,10.0,20.0,10.0,8.0,7.0,0.0,3.0,0.0,48.0,6.857142857142857,2.0,0.0,5.0,10.0,7.0,7.0,15.0,0.0,1.0,3.0,0.0,29.0,19.0,1,31.0,45.0,16.0,32.0,9.0,1.0,4.0,0.0,107.0,15.285714285714286,3.0,0.0,23.0,16.0,27.0,9.0,22.0,1.0,5.0,4.0,0.0,75.0,32.0
24,1223,o7MfiO1X5Ui1AYG08PXFhTcXSShcuNhK,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0,26.0,17.0,13.0,32.0,11.0,0.0,4.0,0.0,77.0,11.0,2.0,0.0,3.0,13.0,28.0,11.0,14.0,0.0,4.0,4.0,0.0,55.0,22.0
25,1227,RuOAeaUVW53IP9AqfP0jxaXbNkmd7lKN,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0,22.0,25.0,1.0,24.0,3.0,0.0,5.0,0.0,58.0,8.285714285714286,2.0,0.0,16.0,1.0,22.0,3.0,9.0,0.0,2.0,5.0,0.0,42.0,16.0
26,1252,mZIaM3Lmux7GERtSm258BKPOSUYFlwyy,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,24.0,69.0,1.0,50.0,4.0,24.0,11.0,0.0,159.0,22.714285714285715,4.0,0.0,36.0,1.0,42.0,4.0,33.0,24.0,8.0,11.0,0.0,83.0,76.0,0,30.0,61.0,15.0,41.0,15.0,0.0,7.0,0.0,139.0,19.857142857142858,5.0,0.0,22.0,15.0,36.0,15.0,39.0,0.0,5.0,7.0,0.0,88.0,51.0
27,1260,beV03mdN2n7VoZwDqBMCKGETqOChXWUx,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,35.0,208.0,71.0,67.0,22.0,59.0,25.0,1.0,453.0,64.71428571428571,3.0,0.0,69.0,71.0,62.0,22.0,139.0,59.0,5.0,25.0,1.0,224.0,229.0,0,19.0,59.0,14.0,6.0,15.0,5.0,4.0,0.0,103.0,14.714285714285714,2.0,0.0,17.0,14.0,6.0,15.0,42.0,5.0,0.0,4.0,0.0,52.0,51.0
28,1289,zlsPhArkUaQ0CCdgZTO1797WJjiciHBk,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,31.0,59.0,26.0,55.0,14.0,42.0,14.0,0.0,210.0,30.0,5.0,0.0,25.0,26.0,47.0,14.0,34.0,42.0,8.0,14.0,0.0,112.0,98.0,0,28.0,88.0,25.0,20.0,27.0,8.0,5.0,0.0,173.0,24.714285714285715,3.0,0.0,27.0,25.0,18.0,27.0,61.0,8.0,2.0,5.0,0.0,97.0,76.0
29,1450,q88579uTDrz7tsNTbZoL3mbWXAP4ClqK,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,23.0,58.0,23.0,4.0,17.0,12.0,17.0,2.0,133.0,19.0,4.0,0.0,27.0,23.0,3.0,17.0,31.0,12.0,1.0,17.0,2.0,70.0,63.0,0,28.0,54.0,20.0,38.0,4.0,14.0,10.0,6.0,146.0,20.857142857142858,3.0,0.0,29.0,20.0,33.0,4.0,25.0,14.0,5.0,10.0,6.0,86.0,60.0
30,1491,lCyf3TRKW0i3K1mBgKz23OONMdCWqNsI,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,31.0,109.0,7.0,88.0,8.0,36.0,48.0,8.0,304.0,43.42857142857143,5.0,0.0,64.0,7.0,75.0,8.0,45.0,36.0,13.0,48.0,8.0,154.0,150.0,0,11.0,24.0,1.0,4.0,2.0,0.0,5.0,0.0,36.0,5.142857142857143,1.0,0.0,15.0,1.0,3.0,2.0,9.0,0.0,1.0,5.0,0.0,21.0,15.0
31,1529,DT600yQDJaU6nnkoEQdVx5gZnWz5FfNY,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,26.0,104.0,1.0,72.0,3.0,8.0,21.0,1.0,210.0,30.0,2.0,0.0,29.0,1.0,62.0,3.0,75.0,8.0,10.0,21.0,1.0,95.0,115.0,0,25.0,107.0,2.0,40.0,9.0,2.0,11.0,0.0,171.0,24.428571428571427,2.0,0.0,46.0,2.0,35.0,9.0,61.0,2.0,5.0,11.0,0.0,92.0,79.0
32,1576,d9rEzZ3v1PmiMyudpVDJ4ystf1RU9dCH,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,16.0,28.0,5.0,8.0,2.0,1.0,18.0,2.0,64.0,9.142857142857142,4.0,0.0,8.0,5.0,7.0,2.0,20.0,1.0,1.0,18.0,2.0,22.0,42.0,1,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0
33,1593,rLQXRKLwDTvBugA3fH8VUxASy31pAAsE,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,32.0,112.0,41.0,68.0,21.0,55.0,11.0,5.0,313.0,44.71428571428572,5.0,0.0,61.0,41.0,59.0,21.0,51.0,55.0,9.0,11.0,5.0,182.0,131.0,1,39.0,130.0,37.0,84.0,16.0,21.0,5.0,0.0,293.0,41.85714285714285,4.0,0.0,84.0,37.0,67.0,16.0,46.0,21.0,17.0,5.0,0.0,204.0,89.0
34,1594,argwyep7vMTLtgODtMQ0gxLXJNoq9csR,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,17.0,25.0,6.0,17.0,4.0,0.0,4.0,0.0,56.0,8.0,3.0,0.0,6.0,6.0,15.0,4.0,19.0,0.0,2.0,4.0,0.0,31.0,25.0,1,25.0,67.0,11.0,42.0,5.0,0.0,10.0,0.0,135.0,19.285714285714285,4.0,0.0,31.0,11.0,35.0,5.0,36.0,0.0,7.0,10.0,0.0,82.0,53.0
35,1616,Bi4hHmeTLwTbUCScu9tC6ZZN7frLUhVP,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.4285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0,6.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,9.0,1.2857142857142858,1.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,5.0
36,1630,BN8wlDCfm46NLUt2P4jjdpJvase6IJc9,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,29.0,90.0,25.0,41.0,13.0,5.0,16.0,0.0,190.0,27.142857142857142,4.0,0.0,42.0,25.0,39.0,13.0,48.0,5.0,2.0,16.0,0.0,119.0,71.0,1,21.0,56.0,15.0,15.0,5.0,15.0,5.0,0.0,111.0,15.857142857142858,3.0,0.0,27.0,15.0,14.0,5.0,29.0,15.0,1.0,5.0,0.0,61.0,50.0
37,1697,LdIFMEp4Gma3xMuOQ2mpp1BJ3jFvB9c2,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,28.0,43.0,10.0,40.0,9.0,3.0,3.0,0.0,108.0,15.428571428571429,3.0,0.0,22.0,10.0,32.0,9.0,21.0,3.0,8.0,3.0,0.0,73.0,35.0,0,13.0,19.0,8.0,10.0,3.0,0.0,2.0,0.0,42.0,6.0,1.0,0.0,5.0,8.0,8.0,3.0,14.0,0.0,2.0,2.0,0.0,24.0,18.0
38,1756,wc32nzp9MMjroUa1gifXyCPIfYwLXy9J,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,36.0,50.0,21.0,39.0,15.0,10.0,27.0,2.0,164.0,23.428571428571427,4.0,0.0,22.0,21.0,34.0,15.0,28.0,10.0,5.0,27.0,2.0,92.0,72.0,1,5.0,8.0,4.0,0.0,3.0,0.0,1.0,0.0,16.0,2.2857142857142856,4.0,0.0,0.0,4.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,7.0,9.0
39,1804,qRMvc4T53dkwmyfrgm76E5HygPUZo2vr,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,26.0,74.0,28.0,14.0,11.0,100.0,28.0,5.0,260.0,37.142857142857146,5.0,0.0,25.0,28.0,12.0,11.0,49.0,100.0,2.0,28.0,5.0,76.0,184.0,0,22.0,60.0,29.0,17.0,16.0,41.0,19.0,0.0,182.0,26.0,7.0,0.0,15.0,29.0,14.0,16.0,45.0,41.0,3.0,19.0,0.0,74.0,108.0
40,1807,tvXgoUvFgvHT9SyDah6Ue0bK2mvIbZdy,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,24.0,78.0,49.0,22.0,27.0,61.0,14.0,0.0,251.0,35.857142857142854,2.0,0.0,23.0,49.0,17.0,27.0,55.0,61.0,5.0,14.0,0.0,116.0,135.0,0,33.0,57.0,36.0,31.0,11.0,27.0,12.0,0.0,174.0,24.857142857142858,4.0,0.0,14.0,36.0,23.0,11.0,43.0,27.0,8.0,12.0,0.0,84.0,90.0
41,1811,466PN9Ek5iJamUCk5pZUwazAoeVcTj9e,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,7.0,11.0,6.0,0.0,4.0,0.0,4.0,0.0,25.0,3.571428571428572,2.0,0.0,2.0,6.0,0.0,4.0,9.0,0.0,0.0,4.0,0.0,12.0,13.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1815,EZXku3HiM8iDGMBMsO2RMLHj3AEpHhBq,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,6.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,8.0,0,7.0,13.0,3.0,0.0,3.0,0.0,1.0,0.0,20.0,2.857142857142857,1.0,0.0,3.0,3.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,9.0,11.0
43,1818,pIBqJuNsqTHvkyItKwWF6wLVRjCC6EZu,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,9.0,24.0,12.0,0.0,7.0,5.0,21.0,0.0,69.0,9.857142857142858,1.0,0.0,5.0,12.0,0.0,7.0,19.0,5.0,0.0,21.0,0.0,24.0,45.0,1,8.0,10.0,5.0,0.0,2.0,0.0,2.0,0.0,19.0,2.7142857142857144,1.0,0.0,2.0,5.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,9.0,10.0
44,1822,v1Dw0XqubI6wLrO1l5puralkQ2Aofi2j,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,26.0,71.0,27.0,24.0,23.0,98.0,22.0,5.0,270.0,38.57142857142857,5.0,0.0,31.0,27.0,17.0,23.0,40.0,98.0,7.0,22.0,5.0,98.0,172.0,0,28.0,46.0,21.0,26.0,10.0,76.0,26.0,8.0,213.0,30.428571428571427,5.0,0.0,14.0,21.0,20.0,10.0,32.0,76.0,6.0,26.0,8.0,65.0,148.0
45,1826,5BwluL2iwK0HgKhM8FgXFAWZQHsXkB8V,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,10.0,15.0,5.0,3.0,9.0,0.0,2.0,0.0,34.0,4.857142857142857,1.0,0.0,9.0,5.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,26.0,8.0,0,36.0,55.0,10.0,24.0,8.0,39.0,23.0,3.0,162.0,23.142857142857142,5.0,0.0,14.0,10.0,23.0,8.0,41.0,39.0,1.0,23.0,3.0,55.0,107.0
46,1830,dtAiYXul2PNEQLlJvo6qGgg8Rx9ORbY3,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,7.0,2.0,1.0,0.0,1.0,1.0,7.0,1.0,13.0,1.8571428571428568,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,7.0,1.0,2.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1845,oaoj9be4jW2Hot8wYgYrzLRvB0RU4KYy,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,5.0,7.0,2.0,0.0,1.0,0.0,3.0,0.0,13.0,1.8571428571428568,3.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,3.0,10.0,0,3.0,7.0,3.0,0.0,0.0,0.0,2.0,0.0,12.0,1.7142857142857142,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,3.0,9.0
48,1852,srnnzUkIJr2Uisav8LfnV4SnpbNw9CLp,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,8.0,10.0,5.0,0.0,3.0,1.0,4.0,0.0,23.0,3.2857142857142856,1.0,0.0,3.0,5.0,0.0,3.0,7.0,1.0,0.0,4.0,0.0,11.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1856,ScOtpH9Zf7UmvFfXBxi9XtXFmhGO9CpS,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,27.0,59.0,27.0,17.0,21.0,85.0,34.0,3.0,246.0,35.142857142857146,7.0,0.0,17.0,27.0,16.0,21.0,42.0,85.0,1.0,34.0,3.0,81.0,165.0,0,23.0,36.0,19.0,20.0,9.0,30.0,18.0,1.0,133.0,19.0,4.0,0.0,5.0,19.0,18.0,9.0,31.0,30.0,2.0,18.0,1.0,51.0,82.0
50,1859,renLevNnf6MkkqeGAoBcuGxp4Cuebb9X,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,13.0,37.0,21.0,0.0,6.0,49.0,50.0,10.0,173.0,24.714285714285715,3.0,0.0,0.0,21.0,0.0,6.0,37.0,49.0,0.0,50.0,10.0,27.0,146.0,0,17.0,28.0,15.0,13.0,9.0,17.0,20.0,2.0,104.0,14.857142857142858,3.0,0.0,6.0,15.0,10.0,9.0,22.0,17.0,3.0,20.0,2.0,40.0,64.0
